DPTO.REDCODEN (Departamento),PERSONA.P03 (Identidad de género),0. __tot__,1. Sí,2. No,0. __mv__,0. __na__,
6182. Coronel de Marina Leonardo Rosales,7. Prefiero no contestar,122,105,17,,,
6182. Coronel de Marina Leonardo Rosales,9. Ignorado,3970,3427,543,,,
6189. Coronel Dorrego,0. __tot__,15795,12910,2885,,,
6189. Coronel Dorrego,1. Mujer,7775,6380,1395,,,
6189. Coronel Dorrego,2. Mujer trans/travesti,22,18,4,,,
6189. Coronel Dorrego,3. Varón,7415,6049,1366,,,
6189. Coronel Dorrego,4. Varón trans/masculinidad trans,9,8,1,,,
6189. Coronel Dorrego,5. No binario,7,6,1,,,
6189. Coronel Dorrego,6. Otra identidad/ninguna de las anteriores,9,7,2,,,
6189. Coronel Dorrego,7. Prefiero no contestar,29,24,5,,,
6189. Coronel Dorrego,9. Ignorado,529,418,111,,,
6196. Coronel Pringles,0. __tot__,24110,20180,3930,,,
6196. Coronel Pringles,1. Mujer,11756,10036,1720,,,
6196. Coronel Pringles,2. Mujer trans/travesti,29,20,9,,,
6196. Coronel Pringles,3. Varón,10896,9139,1757,,,
6196. Coronel Pringles,4. Varón trans/masculinidad trans,38,26,12,,,
6196. Coronel Pringles,5. No binario,32,20,12,,,
6196. Coronel Pringles,6. Otra identidad/ninguna de las anteriores,7,3,4,,,
6196. Coronel Pringles,7. Prefiero no contestar,30,24,6,,,
6196. Coronel Pringles,9. Ignorado,1322,912,410,,,
6203. Coronel Suárez,0. __tot__,41713,36170,5543,,,
6203. Coronel Suárez,1. Mujer,20518,17872,2646,,,
6203. Coronel Suárez,2. Mujer trans/travesti,48,39,9,,,
6203. Coronel Suárez,3. Varón,19510,16947,2563,,,
6203. Coronel Suárez,4. Varón trans/masculinidad trans,34,30,4,,,
6203. Coronel Suárez,5. No binario,18,11,7,,,
6203. Coronel Suárez,6. Otra identidad/ninguna de las anteriores,16,14,2,,,
6203. Coronel Suárez,7. Prefiero no contestar,48,44,4,,,
6203. Coronel Suárez,9. Ignorado,1521,1213,308,,,
6210. Chacabuco,0. __tot__,52409,43853,8556,,,
6210. Chacabuco,1. Mujer,25818,21798,4020,,,
6210. Chacabuco,2. Mujer trans/travesti,81,65,16,,,
6210. Chacabuco,3. Varón,24359,20309,4050,,,
6210. Chacabuco,4. Varón trans/masculinidad trans,33,24,9,,,
6210. Chacabuco,5. No binario,22,21,1,,,
6210. Chacabuco,6. Otra identidad/ninguna de las anteriores,10,7,3,,,
6210. Chacabuco,7. Prefiero no contestar,52,44,8,,,
6210. Chacabuco,9. Ignorado,2034,1585,449,,,
6218. Chascomús,0. __tot__,42191,35218,6973,,,
6218. Chascomús,1. Mujer,20886,17567,3319,,,
6218. Chascomús,2. Mujer trans/travesti,48,36,12,,,
6218. Chascomús,3. Varón,19830,16490,3340,,,
6218. Chascomús,4. Varón trans/masculinidad trans,37,29,8,,,
6218. Chascomús,5. No binario,21,19,2,,,
6218. Chascomús,6. Otra identidad/ninguna de las anteriores,11,10,1,,,
6218. Chascomús,7. Prefiero no contestar,81,54,27,,,
6218. Chascomús,9. Ignorado,1277,1013,264,,,
6224. Chivilcoy,0. __tot__,70554,60556,9998,,,
6224. Chivilcoy,1. Mujer,34880,30131,4749,,,
6224. Chivilcoy,2. Mujer trans/travesti,114,88,26,,,
6224. Chivilcoy,3. Varón,31959,27467,4492,,,
6224. Chivilcoy,4. Varón trans/masculinidad trans,91,73,18,,,
6224. Chivilcoy,5. No binario,42,31,11,,,
6224. Chivilcoy,6. Otra identidad/ninguna de las anteriores,14,11,3,,,
6224. Chivilcoy,7. Prefiero no contestar,84,70,14,,,
6224. Chivilcoy,9. Ignorado,3370,2685,685,,,
6231. Daireaux,0. __tot__,18328,15204,3124,,,
6231. Daireaux,1. Mujer,8421,7099,1322,,,
